name;text;cooking_time;image;author_username;ingredients_id;ingredients_amount;tags
Ролл ясай;Полезный овощной ролл для приверженцев правильного и полезного питания, а также для веганов и вегетарианцев.;20;recipes/images/8abd.jpg;user1;1456,1113,7,1142,1243,903,1529;100,5,10,50,50,10,70;1,2,3
Калифорния с лососем;Это роллы наизнанку, они лепятся рисом наружу. Их можно узнать по ярко-красной окраске, так как эти роллы принято обваливать в икре летучей рыбы.;25;recipes/images/64472.jpg;user2;1456,1113,871,7,901,453;120,5,75,20,50,80;2,3
Ролл темпура;Это особая разновидность классического японского блюда. Привычные рулетики из риса, нори и выбранной начинки помещаются в кляр и обжариваются до золотистой корочки.;30;recipes/images/bf313.jpg;user3;1456,1113,453,729,1142,903;150,10,80,150,40,70;3
Ролл окинава;В качестве начинки используют самые разные ингредиенты. Чаще всего в роллы добавляют соленую красную рыбу;20;recipes/images/45a36.jpg;user_admin;1456,1113,1880,1142,1889,1529,453;120,5,70,70,50,50,80;1,2
Сяке маки;Восхитительные суши Сяке Маки – идеальное сочетание водки сяке, лосося и нори.;20;recipes/images/b5741.jpg;user1;1456,1113,870,1142,901,1521;150,10,40,50,40,2;3
Ролл канада;«Канада» относится к роллам урамаки, которые делают «наизнанку», то есть рисом наружу. Это нужно для того, чтобы жёсткие водоросли нори не чувствовались при дегустации;25;recipes/images/70e3d.jpg;user2;1456,1113,1791,870,1889,7,770,1675;130,5,30,40,40,20,10,5;2,3
Ролл с креветкой;Впервые данное блюдо было приготовлено в 80-х годах поваром в Америке.;20;recipes/images/e007c.jpg;user3;1456,1113,729,1142,7,1761;120,5,40,50,30,60;1
Мисо суп;Блюдо японской кухни, суп с растворённой в нём пастой мисо. В состав супа включается множество второстепенных ингредиентов, их набор зависит от региона и сезона.;30;recipes/images/bd5cf.jpg;user_admin;1672,362,257,1869,879;80,200,150,200,100;1
Мидии запеченые;Подавайте запеченные мидии с ломтиками лайма или лимона, чтобы их поливать выжатым соком перед дегустацией.;45;recipes/images/78dae.jpg;user1;1000,1712,453,1210;300,80,100,80;2,3
Креветки в панировке;Креветки в панировке - распространённый и любимый многими фастфуд. Существует огромное количество его рецептов и вариантов приготовления.;40;recipes/images/7cc0.jpg;user2;729,1744,1712;300,100,70;2
Кольца кальмаров в кляре;Кольца кальмаров в кляре, жаренные во фритюре на сковороде, получаются хрустящими снаружи и нежными внутри.;35;recipes/images/03c3.jpg;user3;505,1744,1712;300,100,70;2,3
Жареный рис с морепродуктами;Насыпьте рис в сотейник, посолите, влейте 1 ч. л. лимонного сока, 1 ст. л. растительного масла и прогревайте 3 минуты, постоянно перемешивая.;35;recipes/images/77d8e.jpg;user_admin;1452,1126,2182,770,1242,1053,769;300,180,100,20,150,130,50;2,3
Сладкий ролл с какао;В Империи суши вы можете заказать онлайн сладкие роллы на любой вкус.;30;recipes/images/f527d.jpg;user1;1773,1780,133,598,97;150,120,100,10,70;3
